Date,SO2,NO2,O3,CO,PM10,PM2.5,AQI,AQI Category,Station code,District,Latitude,Longitude
2017-04-13,0.005,0.035,0.037,0.55,62.875,26.583,82.88,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-14,0.005,0.035,0.044,0.542,50.958,22.5,70.96,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-15,0.006,0.036,0.046,0.6,61.167,31.708,91.51,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-16,0.006,0.047,0.032,0.704,56.375,33.042,94.95,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-17,0.004,0.047,0.025,0.683,40.167,24.333,78.03,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-18,0.003,0.038,0.023,0.567,37.625,20.792,63.36,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-19,0.003,0.023,0.033,0.421,67.5,12.5,87.5,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-20,0.004,0.038,0.031,0.521,69.667,19.375,89.67,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-21,0.004,0.045,0.028,0.608,60.75,21.208,80.75,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-22,0.004,0.035,0.031,0.567,53.417,23.458,73.42,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-23,0.005,0.034,0.043,0.538,45.833,22.875,68.73,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-24,0.004,0.041,0.036,0.546,39.208,17.208,67.9,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-25,0.005,0.035,0.047,0.517,54.625,28.708,83.77,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-26,0.003,0.019,0.042,0.425,37.75,15.25,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-04-27,0.004,0.024,0.04,0.475,38.208,11.625,58.47,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-28,0.007,0.036,0.036,0.667,57.208,24.292,77.21,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-29,0.006,0.037,0.04,0.638,60.0,28.958,84.42,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-04-30,0.008,0.03,0.061500000000000006,0.725,86.583,52.125,162.61,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-05-01,0.005,0.033,0.061500000000000006,0.646,83.542,48.25,147.8,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-05-02,0.005,0.05,0.045,0.717,90.458,49.417,152.26,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-05-03,0.004,0.04,0.061500000000000006,0.612,61.083,32.0,92.26,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-04,0.005,0.043,0.038,0.567,57.333,32.458,93.44,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-05,0.004,0.02,0.042,0.379,46.75,21.042,66.75,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-05-06,0.004,0.022,0.041,0.342,98.188,16.958,188.10749999999996,Very unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-05-07,0.005,0.024,0.044,0.404,79.167,13.042,99.17,Moderate,101,Jongno-gu,37.5720164,127.0050075
